Epoch 1/30 | Train Loss=4.6099, Train Acc=1.10% | Val Loss=4.5678, Val Acc=1.45% | Best Val Acc=1.45%
Epoch 2/30 | Train Loss=4.3270, Train Acc=4.81% | Val Loss=4.3360, Val Acc=7.73% | Best Val Acc=7.73%
Epoch 3/30 | Train Loss=3.7071, Train Acc=13.32% | Val Loss=4.0829, Val Acc=12.56% | Best Val Acc=12.56%
Epoch 4/30 | Train Loss=3.2137, Train Acc=22.60% | Val Loss=3.7569, Val Acc=21.74% | Best Val Acc=21.74%
Epoch 5/30 | Train Loss=2.8554, Train Acc=28.86% | Val Loss=3.4604, Val Acc=30.43% | Best Val Acc=30.43%
Epoch 6/30 | Train Loss=2.5810, Train Acc=35.10% | Val Loss=3.3748, Val Acc=33.33% | Best Val Acc=33.33%
Epoch 7/30 | Train Loss=2.3661, Train Acc=38.64% | Val Loss=3.2897, Val Acc=35.27% | Best Val Acc=35.27%
Epoch 8/30 | Train Loss=2.1571, Train Acc=44.33% | Val Loss=3.0964, Val Acc=40.10% | Best Val Acc=40.10%
Epoch 9/30 | Train Loss=2.0054, Train Acc=47.83% | Val Loss=3.0672, Val Acc=43.00% | Best Val Acc=43.00%
Epoch 10/30 | Train Loss=1.8098, Train Acc=52.78% | Val Loss=3.1782, Val Acc=38.65% | Best Val Acc=43.00%
Epoch 11/30 | Train Loss=1.7518, Train Acc=53.12% | Val Loss=2.7934, Val Acc=44.93% | Best Val Acc=44.93%
Epoch 12/30 | Train Loss=1.6153, Train Acc=56.37% | Val Loss=3.1061, Val Acc=44.44% | Best Val Acc=44.93%
Epoch 13/30 | Train Loss=1.5248, Train Acc=58.68% | Val Loss=3.0368, Val Acc=47.34% | Best Val Acc=47.34%
Epoch 14/30 | Train Loss=1.4400, Train Acc=60.39% | Val Loss=2.8476, Val Acc=46.38% | Best Val Acc=47.34%
Epoch 15/30 | Train Loss=1.3575, Train Acc=62.61% | Val Loss=2.9212, Val Acc=45.89% | Best Val Acc=47.34%
Epoch 16/30 | Train Loss=1.2586, Train Acc=65.18% | Val Loss=2.8845, Val Acc=49.28% | Best Val Acc=49.28%
Epoch 17/30 | Train Loss=1.1611, Train Acc=67.45% | Val Loss=2.8033, Val Acc=49.76% | Best Val Acc=49.76%
Epoch 18/30 | Train Loss=1.1120, Train Acc=69.67% | Val Loss=2.8085, Val Acc=50.24% | Best Val Acc=50.24%
Epoch 19/30 | Train Loss=1.0653, Train Acc=69.75% | Val Loss=2.6994, Val Acc=49.76% | Best Val Acc=50.24%
Epoch 20/30 | Train Loss=0.9982, Train Acc=71.56% | Val Loss=2.7034, Val Acc=52.66% | Best Val Acc=52.66%
Epoch 21/30 | Train Loss=0.9462, Train Acc=73.55% | Val Loss=2.6971, Val Acc=51.21% | Best Val Acc=52.66%
Epoch 22/30 | Train Loss=0.9046, Train Acc=75.46% | Val Loss=2.7582, Val Acc=52.66% | Best Val Acc=52.66%
Epoch 23/30 | Train Loss=0.8705, Train Acc=75.15% | Val Loss=2.6708, Val Acc=53.62% | Best Val Acc=53.62%
Epoch 24/30 | Train Loss=0.8306, Train Acc=76.98% | Val Loss=2.7444, Val Acc=50.72% | Best Val Acc=53.62%
Epoch 25/30 | Train Loss=0.8101, Train Acc=77.53% | Val Loss=2.7687, Val Acc=52.17% | Best Val Acc=53.62%
Epoch 26/30 | Train Loss=0.7902, Train Acc=78.48% | Val Loss=2.7297, Val Acc=51.21% | Best Val Acc=53.62%
Epoch 27/30 | Train Loss=0.7859, Train Acc=78.56% | Val Loss=2.7153, Val Acc=49.76% | Best Val Acc=53.62%
Epoch 28/30 | Train Loss=0.7683, Train Acc=78.86% | Val Loss=2.6945, Val Acc=51.69% | Best Val Acc=53.62%
Epoch 29/30 | Train Loss=0.7674, Train Acc=78.84% | Val Loss=2.6540, Val Acc=56.52% | Best Val Acc=56.52%
Epoch 30/30 | Train Loss=0.7398, Train Acc=79.68% | Val Loss=2.7087, Val Acc=53.14% | Best Val Acc=56.52%
