Epoch 1/30 | Train Loss=4.5833, Train Acc=1.67% | Val Loss=4.5658, Val Acc=3.38% | Best Val Acc=3.38%
Epoch 2/30 | Train Loss=4.3439, Train Acc=4.72% | Val Loss=4.5742, Val Acc=10.14% | Best Val Acc=10.14%
Epoch 3/30 | Train Loss=3.9019, Train Acc=10.43% | Val Loss=4.2680, Val Acc=14.49% | Best Val Acc=14.49%
Epoch 4/30 | Train Loss=3.4781, Train Acc=16.67% | Val Loss=4.0107, Val Acc=19.81% | Best Val Acc=19.81%
Epoch 5/30 | Train Loss=3.1403, Train Acc=23.02% | Val Loss=4.0304, Val Acc=26.09% | Best Val Acc=26.09%
Epoch 6/30 | Train Loss=2.9657, Train Acc=26.22% | Val Loss=3.8035, Val Acc=32.37% | Best Val Acc=32.37%
Epoch 7/30 | Train Loss=2.7962, Train Acc=29.49% | Val Loss=3.7427, Val Acc=35.75% | Best Val Acc=35.75%
Epoch 8/30 | Train Loss=2.6443, Train Acc=32.21% | Val Loss=3.5967, Val Acc=36.23% | Best Val Acc=36.23%
Epoch 9/30 | Train Loss=2.5233, Train Acc=35.27% | Val Loss=3.7786, Val Acc=37.20% | Best Val Acc=37.20%
Epoch 10/30 | Train Loss=2.4111, Train Acc=38.30% | Val Loss=3.7437, Val Acc=36.23% | Best Val Acc=37.20%
Epoch 11/30 | Train Loss=2.3661, Train Acc=39.35% | Val Loss=3.8215, Val Acc=43.00% | Best Val Acc=43.00%
Epoch 12/30 | Train Loss=2.2915, Train Acc=39.59% | Val Loss=3.6838, Val Acc=38.16% | Best Val Acc=43.00%
Epoch 13/30 | Train Loss=2.2181, Train Acc=41.29% | Val Loss=3.7841, Val Acc=42.03% | Best Val Acc=43.00%
Epoch 14/30 | Train Loss=2.1660, Train Acc=43.19% | Val Loss=3.5502, Val Acc=44.44% | Best Val Acc=44.44%
Epoch 15/30 | Train Loss=2.1036, Train Acc=45.26% | Val Loss=3.6457, Val Acc=42.51% | Best Val Acc=44.44%
Epoch 16/30 | Train Loss=2.0469, Train Acc=46.23% | Val Loss=3.6918, Val Acc=47.34% | Best Val Acc=47.34%
Epoch 17/30 | Train Loss=2.0137, Train Acc=47.22% | Val Loss=3.7874, Val Acc=42.51% | Best Val Acc=47.34%
Epoch 18/30 | Train Loss=1.9417, Train Acc=47.96% | Val Loss=3.7321, Val Acc=43.96% | Best Val Acc=47.34%
Epoch 19/30 | Train Loss=1.9250, Train Acc=48.61% | Val Loss=3.7463, Val Acc=47.34% | Best Val Acc=47.34%
Epoch 20/30 | Train Loss=1.8627, Train Acc=50.91% | Val Loss=3.8631, Val Acc=48.31% | Best Val Acc=48.31%
Epoch 21/30 | Train Loss=1.8393, Train Acc=51.29% | Val Loss=3.7696, Val Acc=45.41% | Best Val Acc=48.31%
Epoch 22/30 | Train Loss=1.8484, Train Acc=51.92% | Val Loss=3.8436, Val Acc=46.38% | Best Val Acc=48.31%
Epoch 23/30 | Train Loss=1.8172, Train Acc=51.69% | Val Loss=3.7127, Val Acc=47.34% | Best Val Acc=48.31%
Epoch 24/30 | Train Loss=1.7799, Train Acc=52.97% | Val Loss=3.7201, Val Acc=45.41% | Best Val Acc=48.31%
Epoch 25/30 | Train Loss=1.7643, Train Acc=53.08% | Val Loss=3.6515, Val Acc=47.83% | Best Val Acc=48.31%
Epoch 26/30 | Train Loss=1.7494, Train Acc=53.41% | Val Loss=3.8170, Val Acc=45.89% | Best Val Acc=48.31%
Epoch 27/30 | Train Loss=1.7538, Train Acc=53.14% | Val Loss=3.7978, Val Acc=46.38% | Best Val Acc=48.31%
Epoch 28/30 | Train Loss=1.7438, Train Acc=53.50% | Val Loss=3.8326, Val Acc=47.34% | Best Val Acc=48.31%
Epoch 29/30 | Train Loss=1.7260, Train Acc=54.26% | Val Loss=3.7713, Val Acc=44.44% | Best Val Acc=48.31%
Epoch 30/30 | Train Loss=1.7222, Train Acc=54.60% | Val Loss=3.7511, Val Acc=46.38% | Best Val Acc=48.31%
