Epoch 1/30 | Train Loss=4.5356, Train Acc=2.99% | Val Loss=4.5075, Val Acc=4.83% | Best Val Acc=4.83%
Epoch 2/30 | Train Loss=3.8145, Train Acc=13.17% | Val Loss=4.3534, Val Acc=11.59% | Best Val Acc=11.59%
Epoch 3/30 | Train Loss=3.0801, Train Acc=24.96% | Val Loss=4.0356, Val Acc=18.84% | Best Val Acc=18.84%
Epoch 4/30 | Train Loss=2.5732, Train Acc=34.72% | Val Loss=3.9271, Val Acc=23.67% | Best Val Acc=23.67%
Epoch 5/30 | Train Loss=2.1796, Train Acc=43.21% | Val Loss=3.8177, Val Acc=28.50% | Best Val Acc=28.50%
Epoch 6/30 | Train Loss=1.8841, Train Acc=50.02% | Val Loss=3.8249, Val Acc=28.02% | Best Val Acc=28.50%
Epoch 7/30 | Train Loss=1.6521, Train Acc=55.63% | Val Loss=3.6895, Val Acc=36.23% | Best Val Acc=36.23%
Epoch 8/30 | Train Loss=1.4375, Train Acc=61.32% | Val Loss=3.7562, Val Acc=36.71% | Best Val Acc=36.71%
Epoch 9/30 | Train Loss=1.2601, Train Acc=65.03% | Val Loss=3.8130, Val Acc=37.68% | Best Val Acc=37.68%
Epoch 10/30 | Train Loss=1.1131, Train Acc=69.12% | Val Loss=3.7858, Val Acc=37.20% | Best Val Acc=37.68%
Epoch 11/30 | Train Loss=0.9876, Train Acc=72.41% | Val Loss=4.0676, Val Acc=39.13% | Best Val Acc=39.13%
Epoch 12/30 | Train Loss=0.9057, Train Acc=74.01% | Val Loss=3.7952, Val Acc=42.03% | Best Val Acc=42.03%
Epoch 13/30 | Train Loss=0.8123, Train Acc=77.19% | Val Loss=4.0402, Val Acc=40.58% | Best Val Acc=42.03%
Epoch 14/30 | Train Loss=0.7072, Train Acc=80.04% | Val Loss=3.9407, Val Acc=40.58% | Best Val Acc=42.03%
Epoch 15/30 | Train Loss=0.6695, Train Acc=81.24% | Val Loss=4.1273, Val Acc=42.51% | Best Val Acc=42.51%
Epoch 16/30 | Train Loss=0.6046, Train Acc=82.48% | Val Loss=4.2740, Val Acc=40.58% | Best Val Acc=42.51%
Epoch 17/30 | Train Loss=0.5512, Train Acc=84.38% | Val Loss=4.2458, Val Acc=43.00% | Best Val Acc=43.00%
Epoch 18/30 | Train Loss=0.5014, Train Acc=86.68% | Val Loss=4.4360, Val Acc=41.55% | Best Val Acc=43.00%
Epoch 19/30 | Train Loss=0.4491, Train Acc=87.63% | Val Loss=4.3736, Val Acc=43.00% | Best Val Acc=43.00%
Epoch 20/30 | Train Loss=0.4429, Train Acc=87.71% | Val Loss=4.3452, Val Acc=42.03% | Best Val Acc=43.00%
Epoch 21/30 | Train Loss=0.4019, Train Acc=88.98% | Val Loss=4.2603, Val Acc=43.96% | Best Val Acc=43.96%
Epoch 22/30 | Train Loss=0.3850, Train Acc=89.80% | Val Loss=4.2289, Val Acc=44.93% | Best Val Acc=44.93%
Epoch 23/30 | Train Loss=0.3666, Train Acc=90.05% | Val Loss=4.3624, Val Acc=41.55% | Best Val Acc=44.93%
Epoch 24/30 | Train Loss=0.3432, Train Acc=90.68% | Val Loss=4.3727, Val Acc=43.48% | Best Val Acc=44.93%
Epoch 25/30 | Train Loss=0.3388, Train Acc=90.87% | Val Loss=4.2434, Val Acc=43.00% | Best Val Acc=44.93%
Epoch 26/30 | Train Loss=0.3339, Train Acc=90.83% | Val Loss=4.5112, Val Acc=41.55% | Best Val Acc=44.93%
Epoch 27/30 | Train Loss=0.3282, Train Acc=91.25% | Val Loss=4.3873, Val Acc=43.00% | Best Val Acc=44.93%
Epoch 28/30 | Train Loss=0.3157, Train Acc=91.88% | Val Loss=4.4493, Val Acc=43.00% | Best Val Acc=44.93%
Epoch 29/30 | Train Loss=0.3088, Train Acc=92.16% | Val Loss=4.3383, Val Acc=41.55% | Best Val Acc=44.93%
Epoch 30/30 | Train Loss=0.3114, Train Acc=91.65% | Val Loss=4.4018, Val Acc=42.51% | Best Val Acc=44.93%
