,precision,recall,f1-score,support
12254,0.0,0.0,0.0,2.0
12518,0.0,0.0,0.0,3.0
12910,0.2857142857142857,0.6666666666666666,0.4,3.0
12922,0.3333333333333333,1.0,0.5,2.0
13276,0.0,0.0,0.0,1.0
13325,0.0,0.0,0.0,1.0
13330,0.6666666666666666,1.0,0.8,2.0
13370,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
14353,1.0,1.0,1.0,2.0
14401,0.0,0.0,0.0,1.0
15014,0.0,0.0,0.0,1.0
15318,1.0,1.0,1.0,2.0
15330,0.0,0.0,0.0,1.0
15355,0.6666666666666666,1.0,0.8,2.0
19165,0.2857142857142857,0.6666666666666666,0.4,3.0
19489,1.0,0.6666666666666666,0.8,3.0
29686,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0
105951,0.0,0.0,0.0,1.0
106023,1.0,0.5,0.6666666666666666,2.0
106387,0.0,0.0,0.0,1.0
106461,1.0,0.6666666666666666,0.8,3.0
106466,0.0,0.0,0.0,2.0
110432,0.5,1.0,0.6666666666666666,2.0
116853,0.0,0.0,0.0,1.0
119986,0.0,0.0,0.0,1.0
120497,0.0,0.0,0.0,1.0
121836,1.0,1.0,1.0,2.0
121841,0.0,0.0,0.0,1.0
125412,0.0,0.0,0.0,1.0
126895,0.0,0.0,0.0,1.0
127007,0.0,0.0,0.0,1.0
127097,0.6666666666666666,1.0,0.8,2.0
127151,0.5,0.6666666666666666,0.5714285714285714,3.0
127242,0.0,0.0,0.0,1.0
129645,1.0,0.5,0.6666666666666666,2.0
130657,0.0,0.0,0.0,1.0
131079,1.0,1.0,1.0,3.0
131736,1.0,1.0,1.0,3.0
132107,1.0,1.0,1.0,2.0
132113,0.0,0.0,0.0,1.0
132431,0.0,0.0,0.0,3.0
132476,1.0,0.5,0.6666666666666666,2.0
132501,0.0,0.0,0.0,2.0
133595,1.0,0.3333333333333333,0.5,3.0
133617,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0
136761,0.0,0.0,0.0,1.0
138662,1.0,1.0,1.0,3.0
140367,0.0,0.0,0.0,2.0
141068,0.5,0.5,0.5,2.0
141332,0.0,0.0,0.0,1.0
141336,0.0,0.0,0.0,1.0
142550,1.0,1.0,1.0,2.0
142736,0.0,0.0,0.0,2.0
143496,0.25,0.5,0.3333333333333333,2.0
143706,0.0,0.0,0.0,1.0
143758,0.0,0.0,0.0,1.0
144394,1.0,0.5,0.6666666666666666,2.0
145020,0.0,0.0,0.0,1.0
148220,0.0,0.0,0.0,1.0
148977,0.5,1.0,0.6666666666666666,2.0
149264,0.0,0.0,0.0,1.0
149682,0.0,0.0,0.0,1.0
149919,0.5,0.5,0.5,2.0
150135,0.5,1.0,0.6666666666666666,2.0
151469,0.0,0.0,0.0,2.0
151593,0.0,0.0,0.0,1.0
156516,0.0,0.0,0.0,3.0
156526,0.25,1.0,0.4,2.0
158341,1.0,1.0,1.0,3.0
158592,0.0,0.0,0.0,2.0
158653,0.5,0.3333333333333333,0.4,3.0
158736,0.4,0.6666666666666666,0.5,3.0
158793,1.0,0.5,0.6666666666666666,2.0
158833,0.5,0.6666666666666666,0.5714285714285714,3.0
159434,0.0,0.0,0.0,1.0
159516,0.0,0.0,0.0,1.0
159518,0.0,0.0,0.0,1.0
160570,0.0,0.0,0.0,2.0
166822,1.0,1.0,1.0,3.0
166869,0.0,0.0,0.0,2.0
169293,0.0,0.0,0.0,3.0
171727,0.5,0.5,0.5,2.0
173914,0.0,0.0,0.0,3.0
173972,1.0,0.6666666666666666,0.8,3.0
174017,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0
177730,0.0,0.0,0.0,3.0
177775,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
189669,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
191642,0.4,0.6666666666666666,0.5,3.0
192311,0.2,0.5,0.2857142857142857,2.0
194035,0.75,1.0,0.8571428571428571,3.0
209328,0.75,1.0,0.8571428571428571,3.0
211059,1.0,1.0,1.0,2.0
244705,0.5,0.6666666666666666,0.5714285714285714,3.0
248392,0.5,1.0,0.6666666666666666,3.0
254180,0.5,0.6666666666666666,0.5714285714285714,3.0
275029,0.375,1.0,0.5454545454545454,3.0
280085,0.6,1.0,0.75,3.0
280698,0.375,1.0,0.5454545454545454,3.0
285398,0.6,1.0,0.75,3.0
accuracy,0.5314009661835749,0.5314009661835749,0.5314009661835749,0.5314009661835749
macro avg,0.36854761904761907,0.43,0.3744329004329005,207.0
weighted avg,0.4518403496664366,0.5314009661835749,0.4617270008574357,207.0
