Epoch 1/30 | Train Loss=4.5802, Train Acc=2.02% | Val Loss=4.5254, Val Acc=4.8309% | Best Val Acc=4.83%
Epoch 2/30 | Train Loss=3.9809, Train Acc=11.70% | Val Loss=4.0677, Val Acc=13.0435% | Best Val Acc=13.04%
Epoch 3/30 | Train Loss=3.2472, Train Acc=22.47% | Val Loss=3.5292, Val Acc=21.7391% | Best Val Acc=21.74%
Epoch 4/30 | Train Loss=2.7003, Train Acc=31.89% | Val Loss=3.1709, Val Acc=33.3333% | Best Val Acc=33.33%
Epoch 5/30 | Train Loss=2.3056, Train Acc=41.19% | Val Loss=2.9950, Val Acc=39.6135% | Best Val Acc=39.61%
Epoch 6/30 | Train Loss=1.9918, Train Acc=47.81% | Val Loss=2.8869, Val Acc=41.5459% | Best Val Acc=41.55%
Epoch 7/30 | Train Loss=1.7673, Train Acc=53.27% | Val Loss=2.7743, Val Acc=45.4106% | Best Val Acc=45.41%
Epoch 8/30 | Train Loss=1.5733, Train Acc=56.77% | Val Loss=2.6169, Val Acc=49.2754% | Best Val Acc=49.28%
Epoch 9/30 | Train Loss=1.3992, Train Acc=62.96% | Val Loss=2.6815, Val Acc=48.7923% | Best Val Acc=49.28%
Epoch 10/30 | Train Loss=1.2753, Train Acc=64.84% | Val Loss=2.6321, Val Acc=50.2415% | Best Val Acc=50.24%
Epoch 11/30 | Train Loss=1.1750, Train Acc=67.37% | Val Loss=2.5756, Val Acc=54.1063% | Best Val Acc=54.11%
Epoch 12/30 | Train Loss=1.0673, Train Acc=70.45% | Val Loss=2.5739, Val Acc=56.0386% | Best Val Acc=56.04%
Epoch 13/30 | Train Loss=0.9201, Train Acc=74.22% | Val Loss=2.5564, Val Acc=54.5894% | Best Val Acc=56.04%
Epoch 14/30 | Train Loss=0.8362, Train Acc=76.94% | Val Loss=2.5806, Val Acc=56.0386% | Best Val Acc=56.04%
Epoch 15/30 | Train Loss=0.7673, Train Acc=78.29% | Val Loss=2.5642, Val Acc=56.0386% | Best Val Acc=56.04%
Epoch 16/30 | Train Loss=0.7055, Train Acc=79.41% | Val Loss=2.5597, Val Acc=56.5217% | Best Val Acc=56.52%
Epoch 17/30 | Train Loss=0.6357, Train Acc=82.12% | Val Loss=2.6193, Val Acc=58.4541% | Best Val Acc=58.45%
Epoch 18/30 | Train Loss=0.5575, Train Acc=83.92% | Val Loss=2.6048, Val Acc=54.1063% | Best Val Acc=58.45%
Epoch 19/30 | Train Loss=0.5082, Train Acc=85.60% | Val Loss=2.5633, Val Acc=58.4541% | Best Val Acc=58.45%
Epoch 20/30 | Train Loss=0.4556, Train Acc=87.23% | Val Loss=2.5151, Val Acc=57.9710% | Best Val Acc=58.45%
Epoch 21/30 | Train Loss=0.4155, Train Acc=88.53% | Val Loss=2.4716, Val Acc=59.4203% | Best Val Acc=59.42%
Epoch 22/30 | Train Loss=0.3824, Train Acc=89.84% | Val Loss=2.5884, Val Acc=58.4541% | Best Val Acc=59.42%
Epoch 23/30 | Train Loss=0.3484, Train Acc=90.32% | Val Loss=2.6767, Val Acc=56.5217% | Best Val Acc=59.42%
Epoch 24/30 | Train Loss=0.3054, Train Acc=91.69% | Val Loss=2.5912, Val Acc=59.4203% | Best Val Acc=59.42%
Epoch 25/30 | Train Loss=0.3142, Train Acc=91.48% | Val Loss=2.5411, Val Acc=59.4203% | Best Val Acc=59.42%
Epoch 26/30 | Train Loss=0.2958, Train Acc=92.54% | Val Loss=2.5475, Val Acc=59.9034% | Best Val Acc=59.90%
Epoch 27/30 | Train Loss=0.2752, Train Acc=92.60% | Val Loss=2.5813, Val Acc=61.3527% | Best Val Acc=61.35%
Epoch 28/30 | Train Loss=0.2655, Train Acc=93.04% | Val Loss=2.5599, Val Acc=58.9372% | Best Val Acc=61.35%
Epoch 29/30 | Train Loss=0.2550, Train Acc=93.47% | Val Loss=2.5385, Val Acc=60.3865% | Best Val Acc=61.35%
Epoch 30/30 | Train Loss=0.2646, Train Acc=93.09% | Val Loss=2.5835, Val Acc=59.4203% | Best Val Acc=61.35%
